"","X","Store","Date","IsHoliday","Dept","Weekly_Sales","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","Type","Size"
"202017",202017,21,"2011-02-25",FALSE,36,1025,61.27,3.065,NA,NA,NA,NA,NA,213.190421,8.028,"B",140167
"165520",165520,17,"2012-03-02",FALSE,31,1236.64,26.28,3.242,14469.08,1163.89,37.38,8771.3,2237.79,130.6457931,6.403,"B",93188
"389207",389207,41,"2011-12-02",FALSE,94,37971,34.53,3.378,4594.56,305.47,1781.24,3168.1,21739.26,195.8223287,6.759,"A",196321
"133193",133193,14,"2011-05-06",FALSE,67,26400.02,58.21,4.046,NA,NA,NA,NA,NA,185.9374378,8.521,"A",200898
"401356",401356,43,"2010-10-08",FALSE,1,8748.54,72.81,2.633,NA,NA,NA,NA,NA,203.6651786,10.21,"C",41062
"259159",259159,27,"2010-06-18",FALSE,29,8258.5,70,2.942,NA,NA,NA,NA,NA,136.3243393,8.058,"A",204184
"76741",76741,8,"2012-03-23",FALSE,21,4054.58,52.9,3.787,6155.76,499.11,2.04,403.32,2748.36,224.8399424,5.825,"A",155078
"329742",329742,34,"2012-03-16",FALSE,74,8091.21,48.09,3.707,6104.24,94.31,2.7,479.7,1656.98,130.8261935,9.653,"A",158114
"364733",364733,39,"2010-09-10",TRUE,97,24890.56,79.94,2.565,NA,NA,NA,NA,NA,210.2641156,8.36,"A",184109
"34122",34122,4,"2011-04-15",FALSE,59,562.83,62.34,3.724,NA,NA,NA,NA,NA,128.9107333,5.946,"A",205863
"410462",410462,44,"2011-08-26",FALSE,3,2059.37,81.53,3.57,NA,NA,NA,NA,NA,129.2832581,6.56,"C",39910
"21456",21456,3,"2010-05-07",FALSE,6,1660.85,73.47,2.835,NA,NA,NA,NA,NA,213.6211778,7.343,"B",37392
"151848",151848,16,"2011-01-21",FALSE,27,553.43,28.6,2.973,NA,NA,NA,NA,NA,191.5731924,6.614,"B",57197
"407194",407194,44,"2010-05-21",FALSE,79,4593.52,57.71,2.95,NA,NA,NA,NA,NA,126.1843871,7.972,"C",39910
"364158",364158,39,"2010-07-16",FALSE,93,36734.9,83.86,2.623,NA,NA,NA,NA,NA,209.8630532,8.36,"A",184109
"94261",94261,10,"2011-10-14",FALSE,8,82247.55,70.27,3.698,NA,NA,NA,NA,NA,129.7706452,7.874,"B",126512
"235368",235368,24,"2012-02-17",FALSE,55,17259.47,33.92,3.874,12244.57,10925.86,25.52,15725.51,5533.12,137.2583103,8.659,"A",203819
"80319",80319,9,"2010-07-09",FALSE,33,2545,78.51,2.642,NA,NA,NA,NA,NA,214.6564301,6.442,"B",125833
"213593",213593,22,"2011-09-09",TRUE,45,11.97,69.14,3.809,NA,NA,NA,NA,NA,140.2310173,8.023,"B",119557
"360797",360797,38,"2012-03-16",FALSE,17,587.27,64.44,4.273,480.19,0.5,1.02,NA,1158.07,130.8261935,12.187,"C",39690
"221704",221704,23,"2011-03-11",FALSE,23,30163.66,29.36,3.6,NA,NA,NA,NA,NA,133.7361429,5.114,"B",114533
"274738",274738,28,"2011-11-25",TRUE,97,18635.75,53.25,3.622,2232.08,179.73,61319.72,513.76,1790.89,129.8364,12.89,"A",206302
"104015",104015,11,"2011-09-02",FALSE,17,12238.33,91.44,3.533,NA,NA,NA,NA,NA,219.1501106,7.567,"A",207499
"343918",343918,36,"2011-02-11",TRUE,92,50928.91,41.16,3.009,NA,NA,NA,NA,NA,211.6985093,8.395,"A",39910
"359342",359342,38,"2011-09-02",FALSE,60,422.4,93.66,3.798,NA,NA,NA,NA,NA,129.3259355,13.503,"C",39690
"217274",217274,22,"2012-09-21",FALSE,93,2486.5,63.38,4.056,7150.28,106.01,19,1217.3,7556.34,142.6798167,7.753,"B",119557
"240753",240753,25,"2010-11-05",FALSE,21,5326.88,38.8,2.917,NA,NA,NA,NA,NA,205.160837,7.484,"B",128107
"159021",159021,17,"2010-05-07",FALSE,83,554.44,40.26,2.948,NA,NA,NA,NA,NA,126.2898,6.635,"B",93188
"20447",20447,2,"2012-10-19",FALSE,17,12404.85,68.08,3.594,4461.89,NA,1.14,1579.67,2642.29,223.0598077,6.17,"A",202307
"149453",149453,16,"2010-05-07",FALSE,74,9979.58,37.43,2.771,NA,NA,NA,NA,NA,189.5312483,6.842,"B",57197
"146311",146311,15,"2012-03-16",FALSE,3,7062.9,47.42,4.021,3518.76,104.88,2.98,797.26,1364.77,137.5843871,7.943,"B",123737
"360158",360158,38,"2011-12-23",FALSE,9,20.24,45.4,3.541,59.23,NA,0.6,NA,1588.1,129.9845484,12.89,"C",39690
